"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"LP523";"2097156420";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"10.01.2024 10:36:59";"05.12.2018 07:49:52"
"LP314";"16778380";"64GQL72";"30:52:CB:EA:C7:65";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.02.2024 13:19:42";"22.02.2024 13:14:00";"22.02.2024 08:08:17";"22.02.2024 08:34:54";"22.02.2024 13:19:42";"05.02.2024 06:13:29";"1";"Windows 10 Pro";"19.02.2024 08:09:04";"03.03.2016 08:27:56"
"PC651";"16780049";"FSGZZR2";"DC:EF:09:E2:09:54";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"atklsccm.kostweingroup.intern";"22.02.2024 06:48:25";"21.02.2024 09:48:41";"21.02.2024 11:46:24";"21.02.2024 12:16:38";"22.02.2024 06:48:25";"12.02.2024 04:57:45";"1";"Windows 10 Pro";"22.02.2024 06:08:51";"15.10.2018 14:37:44"
"PC628";"2097156264";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"03.03.2024 22:24:49";"20.09.2018 10:34:39"
"TAB029";"2097156367";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"08.04.2024 12:15:18";"24.05.2022 10:28:00"
"PC868";"2097156334";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Varazdin";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"21.04.2024 03:36:21";"02.09.2020 16:03:43"
"AZEU-IMENDO-01";"2097156347";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise multi-session";"06.05.2024 10:25:06";"18.04.2024 14:59:15"
"LP940";"2097155667";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"15.05.2024 10:05:44";"13.12.2022 15:16:10"
"AZEU-AMS-ID-01";"2097156348";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise";"16.05.2024 08:37:57";"18.04.2024 15:54:10"
"AZEU-CEIS-01";"2097156344";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Pro";"19.05.2024 17:45:32";"17.04.2024 15:30:31"
"AZEU-RP-01";"2097156343";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise multi-session";"23.05.2024 15:51:51";"17.04.2024 15:02:46"
